Profile,SNR_dB,Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
2,0,S3_Warp_Fade,A,PRE,m_reliability,0.510975,0.521742,0.439490,0.563458
2,0,S3_Warp_Fade,A,PRE,Lambda,1.000000,1.000000,1.000000,1.000000
2,0,S3_Warp_Fade,A,PRE,R_vb,0.500443,0.479414,0.100000,0.907756
2,0,S3_Warp_Fade,A,PRE,R_eff,0.500443,0.479414,0.100000,0.907756
2,0,S3_Warp_Fade,A,PRE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
2,0,S3_Warp_Fade,A,PRE,K_delay,0.537867,0.510393,0.382424,0.734000
2,0,S3_Warp_Fade,A,PRE,Q11,0.163828,0.164287,0.050000,0.267123
2,0,S3_Warp_Fade,A,PRE,Q22,0.002536,0.002498,0.002000,0.003169
2,0,S3_Warp_Fade,A,PRE,innovation,0.004898,-0.013162,-1.326862,1.418323
2,0,S3_Warp_Fade,A,PRE,abs_innovation,0.853315,0.722281,0.134911,1.773092
2,0,S3_Warp_Fade,A,PRE,S,1.028230,0.983704,0.452530,1.618025
2,0,S3_Warp_Fade,A,PRE,NIS,1.318453,0.564887,0.018895,3.585826
2,0,S3_Warp_Fade,A,PRE,Ppred11,0.527788,0.488416,0.275940,0.755520
2,0,S3_Warp_Fade,A,PRE,Ppred22,0.064234,0.027669,0.023774,0.037526
2,0,S3_Warp_Fade,A,PRE,tracking_error,-0.194905,-0.207607,-0.738622,0.350865
2,0,S3_Warp_Fade,A,FADE,m_reliability,0.195484,0.178615,0.076931,0.338204
2,0,S3_Warp_Fade,A,FADE,Lambda,1.000000,1.000000,1.000000,1.000000
2,0,S3_Warp_Fade,A,FADE,R_vb,1.374789,1.244567,0.480979,2.478733
2,0,S3_Warp_Fade,A,FADE,R_eff,1.374789,1.244567,0.480979,2.478733
2,0,S3_Warp_Fade,A,FADE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
2,0,S3_Warp_Fade,A,FADE,K_delay,0.461828,0.447350,0.349429,0.581249
2,0,S3_Warp_Fade,A,FADE,Q11,0.375098,0.372852,0.273065,0.480012
2,0,S3_Warp_Fade,A,FADE,Q22,0.002018,0.002009,0.001738,0.002313
2,0,S3_Warp_Fade,A,FADE,innovation,-0.026697,0.043006,-2.186398,2.118297
2,0,S3_Warp_Fade,A,FADE,abs_innovation,1.305154,1.208978,0.235014,2.594954
2,0,S3_Warp_Fade,A,FADE,S,2.399916,2.259843,1.121059,3.961518
2,0,S3_Warp_Fade,A,FADE,NIS,1.162616,0.678805,0.026448,2.889675
2,0,S3_Warp_Fade,A,FADE,Ppred11,1.025128,0.994183,0.604521,1.509307
2,0,S3_Warp_Fade,A,FADE,Ppred22,0.030987,0.030834,0.026454,0.035510
2,0,S3_Warp_Fade,A,FADE,tracking_error,-0.204629,-0.215028,-1.339229,0.945986
2,0,S3_Warp_Fade,A,POST,m_reliability,0.516658,0.525481,0.461776,0.562453
2,0,S3_Warp_Fade,A,POST,Lambda,1.000000,1.000000,1.000000,1.000000
2,0,S3_Warp_Fade,A,POST,R_vb,0.533486,0.464849,0.104335,1.044900
2,0,S3_Warp_Fade,A,POST,R_eff,0.533486,0.464849,0.104335,1.044900
2,0,S3_Warp_Fade,A,POST,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
2,0,S3_Warp_Fade,A,POST,K_delay,0.660006,0.642083,0.505282,0.842535
2,0,S3_Warp_Fade,A,POST,Q11,0.465437,0.460111,0.354940,0.575839
2,0,S3_Warp_Fade,A,POST,Q22,0.001444,0.001430,0.001178,0.001720
2,0,S3_Warp_Fade,A,POST,innovation,-0.023617,-0.059811,-1.381981,1.406097
2,0,S3_Warp_Fade,A,POST,abs_innovation,0.842479,0.742715,0.145542,1.716094
2,0,S3_Warp_Fade,A,POST,S,1.373834,1.299195,0.645033,2.183207
2,0,S3_Warp_Fade,A,POST,NIS,0.903895,0.449671,0.016700,2.443675
2,0,S3_Warp_Fade,A,POST,Ppred11,0.840348,0.831623,0.528769,1.169069
2,0,S3_Warp_Fade,A,POST,Ppred22,0.029274,0.029224,0.024617,0.033881
2,0,S3_Warp_Fade,A,POST,tracking_error,-0.182736,-0.194630,-0.802929,0.465107
2,0,S3_Warp_Fade,VB-FQ,PRE,m_reliability,0.513787,0.525264,0.438237,0.564802
2,0,S3_Warp_Fade,VB-FQ,PRE,Lambda,1.000000,1.000000,1.000000,1.000000
2,0,S3_Warp_Fade,VB-FQ,PRE,R_vb,0.400765,0.395551,0.184870,0.602257
2,0,S3_Warp_Fade,VB-FQ,PRE,R_eff,0.400765,0.395551,0.184870,0.602257
2,0,S3_Warp_Fade,VB-FQ,PRE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
2,0,S3_Warp_Fade,VB-FQ,PRE,K_delay,0.446306,0.406695,0.358754,0.582430
2,0,S3_Warp_Fade,VB-FQ,PRE,Q11,0.050000,0.050000,0.050000,0.050000
2,0,S3_Warp_Fade,VB-FQ,PRE,Q22,0.002000,0.002000,0.002000,0.002000
2,0,S3_Warp_Fade,VB-FQ,PRE,innovation,0.021820,-0.004490,-1.242325,1.372354
2,0,S3_Warp_Fade,VB-FQ,PRE,abs_innovation,0.814809,0.668912,0.124993,1.696671
2,0,S3_Warp_Fade,VB-FQ,PRE,S,0.743712,0.694154,0.457562,1.011827
2,0,S3_Warp_Fade,VB-FQ,PRE,NIS,1.360665,0.654481,0.024227,3.877875
2,0,S3_Warp_Fade,VB-FQ,PRE,Ppred11,0.342947,0.281278,0.219551,0.419009
2,0,S3_Warp_Fade,VB-FQ,PRE,Ppred22,0.057030,0.017048,0.016275,0.047555
2,0,S3_Warp_Fade,VB-FQ,PRE,tracking_error,-0.217824,-0.237253,-0.680054,0.251832
2,0,S3_Warp_Fade,VB-FQ,FADE,m_reliability,0.196388,0.178020,0.079791,0.338008
