Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S3_Warp_Fade,C,PRE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,PRE,K_delay,0.583745,0.557568,0.440941,0.798114
S3_Warp_Fade,C,PRE,Q11,0.147633,0.146809,0.050000,0.237603
S3_Warp_Fade,C,PRE,Q22,0.002537,0.002498,0.002000,0.003179
S3_Warp_Fade,C,PRE,tracking_error,-0.380190,-0.367341,-0.793004,0.000000
S3_Warp_Fade,C,FADE,m_reliability,0.690846,0.713409,0.511384,0.823453
S3_Warp_Fade,C,FADE,Lambda,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,FADE,R_vb,0.415227,0.381773,0.182021,0.655478
S3_Warp_Fade,C,FADE,R_eff,0.415227,0.381773,0.182021,0.655478
S3_Warp_Fade,C,FADE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,FADE,K_delay,0.609428,0.592952,0.514823,0.713424
S3_Warp_Fade,C,FADE,Q11,0.294146,0.292635,0.231631,0.358327
S3_Warp_Fade,C,FADE,Q22,0.002020,0.002015,0.001821,0.002210
S3_Warp_Fade,C,FADE,tracking_error,-0.409491,-0.437897,-0.887702,0.076960
S3_Warp_Fade,C,POST,m_reliability,0.866977,0.869654,0.848544,0.882894
S3_Warp_Fade,C,POST,Lambda,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,POST,R_vb,0.266628,0.225173,0.051478,0.543769
S3_Warp_Fade,C,POST,R_eff,0.266628,0.225173,0.051478,0.543769
S3_Warp_Fade,C,POST,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,POST,K_delay,0.738856,0.731390,0.587120,0.904090
S3_Warp_Fade,C,POST,Q11,0.402344,0.392651,0.329224,0.484783
S3_Warp_Fade,C,POST,Q22,0.001583,0.001573,0.001339,0.001812
S3_Warp_Fade,C,POST,tracking_error,-0.398736,-0.414881,-0.901793,0.118553
S3_Warp_Fade,E,NORMAL,m_reliability,0.835358,0.866028,0.738499,0.890208
S3_Warp_Fade,E,NORMAL,Lambda,1.498145,1.324668,1.255430,1.804100
S3_Warp_Fade,E,NORMAL,R_vb,0.940741,0.848186,0.448061,1.699809
S3_Warp_Fade,E,NORMAL,R_eff,1.434590,1.259464,0.590776,2.482119
