ProfileID,Trial,SymbolIdx,Phase,m_k,z_k,epsilon_true_k,e_meas_k
P1,2,44,PRE,0.965854063236878,-7.45480914496133,-6.45302430321948,-0.00628381636771991
P1,2,45,PRE,0.963333611147077,-7.32238788569937,-6.57704805130432,0.250161190979089
P1,2,46,FADE,0.94341650950247,-7.2944390890017,-6.70192494092792,0.402986877300354
P1,2,47,FADE,0.923766418949026,-7.80688834228553,-6.82765348117087,0.0162661642594744
P1,2,48,FADE,0.891323089100968,-8.44893812782061,-6.95423216093527,-0.499204941511207
P1,2,49,FADE,0.8624287529011,-8.48565215008472,-7.08165944892603,-0.408491675784559
P1,2,50,FADE,0.831205602772282,-8.9202515846491,-7.20993379378676,-0.7148167654882
P1,2,51,FADE,0.781570155917011,-7.6993145962105,-7.33905362400122,0.635240053164859
P1,2,52,FADE,0.702447435210114,-9.23640910512638,-7.4690173480878,-0.771890731664444
P1,2,53,FADE,0.641528180389264,-9.49858342684778,-7.59982335448495,-0.903259046988698
P1,2,54,FADE,0.591672327051478,-9.6127094750674,-7.73147001170305,-0.885738437990224
P1,2,55,FADE,0.547870920942095,-9.7574297798423,-7.86395566830045,-0.897973086167712
P1,2,56,FADE,0.579813406129013,-9.02674803297829,-7.99727865293143,-0.033968354672723
P1,2,57,FADE,0.664689571106299,-8.79665291623944,-8.13143727441812,0.330285383552816
P1,2,58,FADE,0.732124670324188,-9.13981767347145,-8.26642982175052,0.122113173653204
P1,2,59,FADE,0.761893822897882,-10.6617652191571,-8.40225456416377,-1.26400962961918
P1,2,60,FADE,0.837873896068483,-9.45013623379859,-8.53890975116478,0.0842745427403297
P1,2,61,FADE,0.907950942268426,-10.1451850739117,-8.67639361251094,-0.473290436026623
P1,2,62,FADE,0.916970788613575,-10.2729201697568,-8.81470435839393,-0.462714785988705
P1,2,63,FADE,0.923686682847638,-10.9608624088689,-8.95384017932521,-1.01152120416955
P1,2,64,POST,0.944670520005494,-9.66413366896087,-9.09379924629583,0.425166602709096
P1,2,65,POST,0.955548906329667,-11.1504512279045,-9.23457971077912,-0.920370491751211
P1,2,66,POST,0.963668548881387,-10.2247605804195,-9.37617970475202,0.146920149706624
P1,2,67,POST,0.98744263401759,-10.4717284662424,-9.51859734074301,0.0423698998746982
P1,2,68,POST,0.982585617297694,-10.4562886263933,-9.66183071192805,0.201043110908884
P1,2,69,POST,0.975722606974569,-10.9710830473081,-9.80587789215726,-0.169704129776736
P1,2,70,POST,0.956735360301053,-11.2031837304936,-9.9507369359042,-0.256945769215282
P1,2,71,POST,0.937789897747893,-11.7524208765685,-10.0964058784765,-0.660513972717858
P1,2,72,POST,0.96456551613913,-10.56735473283,-10.2428827359278,0.671029028471862
P1,2,73,POST,0.976517808634306,-12.4257774675878,-10.390165505191,-1.04011093702265
P1,2,74,POST,0.973811639623747,-11.4180322023988,-10.5382521640411,0.115720987016438
P1,2,75,POST,0.991510610229541,-11.7290223971881,-10.687140671223,-0.0463807005909729
P1,2,76,POST,0.982002637463811,-12.1189955575804,-10.8368289664833,-0.286665565722924
P1,2,77,POST,0.960639620053114,-12.7385685099917,-10.9873149705546,-0.755752514063005
P1,2,78,POST,0.971187975081026,-11.4242634843792,-11.1385965853339,0.709834126328795
P1,2,79,POST,0.976656494103724,-13.2037325369469,-11.2906716937813,-0.91755981779143
P1,2,80,POST,0.978112836664245,-12.2041694356559,-11.4435381600533,0.234869749771475
P1,2,81,POST,0.994618180533318,-12.4528587399869,-11.5971938295534,0.139836114940609
P1,2,82,POST,0.985920660186421,-12.6442762559654,-11.7516365289854,0.102861298394126
P1,2,83,POST,0.96868953930349,-13.2628006506202,-11.9068640663746,-0.360435558871403
P1,2,84,POST,0.943867084890126,-13.8208874436805,-12.0628742311322,-0.762512187174154
P1,2,85,POST,0.965854717847924,-12.5051910341719,-12.2196647941211,0.709974785323283
P1,2,86,POST,0.982280176127518,-14.3537633299885,-12.3772335077073,-0.981028796907143
P1,2,87,POST,0.982280176127518,-13.6281293558525,-12.5355781057728,-0.0970502247056277
P1,2,88,POST,0.993994411745275,-13.6875917805543,-12.6946963038597,0.00260554867949914
